Year,County,ICD Version,Total Admits (Consolidated),30-day Readmits (Consolidated),30-day Readmission Rate (Consolidated),PCPI,Population,Total Admits (Proportion),30-day Readmits (Proportion)
2013,Placer,ICD-9,18470.0,2139.0,11.6,52942.0,365415,0.05054527044593134,0.005853618488567793
2013,Plumas,ICD-9,828.0,92.0,11.1,40346.0,18901,0.043807205967938204,0.004867467329770911
2013,Riverside,ICD-9,110940.0,14914.0,13.4,33565.0,2286087,0.048528336848072715,0.006523811211034401
2013,Sacramento,ICD-9,77051.0,10602.0,13.8,41581.0,1457283,0.05287305211136066,0.007275182651550865
2013,San Benito,ICD-9,2616.0,335.0,12.8,39293.0,57320,0.04563852058618283,0.0058443824145150034
2013,San Bernardino,ICD-9,104088.0,14890.0,14.3,31889.0,2082101,0.049991811156135074,0.007151430214000185
2013,San Diego,ICD-9,152109.0,19775.0,13.0,48645.0,3210788,0.04737435171677482,0.006158924226700735
2013,San Joaquin,ICD-9,34379.0,4705.0,13.7,34791.0,701831,0.04898472709241968,0.006703893102470538
2013,San Luis Obispo,ICD-9,12778.0,1335.0,10.4,44771.0,275713,0.046345293838157796,0.004841991491152031
2013,San Mateo,ICD-9,29190.0,3583.0,12.3,85557.0,749131,0.038965147617706385,0.004782875091272421
2013,Santa Barbara,ICD-9,18594.0,1995.0,10.7,49091.0,434503,0.042793720641744706,0.00459145276327206
2013,Santa Clara,ICD-9,67810.0,8985.0,13.3,71593.0,1866050,0.03633879049328796,0.004814983521341872
2013,Santa Cruz,ICD-9,10453.0,1058.0,10.1,52252.0,268836,0.03888244133970153,0.003935484830900624
2013,Shasta,ICD-9,13737.0,1449.0,10.5,35799.0,178447,0.07698084024948584,0.008120058056453737
2013,Sierra,ICD-9,94.0,9.0,9.6,35366.0,3031,0.031012867040580667,0.0029693170570768723
2013,Siskiyou,ICD-9,2459.0,249.0,10.1,34302.0,43550,0.0564638346727899,0.005717566016073479
2013,Solano,ICD-9,20395.0,2736.0,13.4,40025.0,423634,0.048142972471520225,0.0064584051327325
2013,Sonoma,ICD-9,22136.0,2515.0,11.4,47527.0,493870,0.04482151173385709,0.005092433231417175
2013,Stanislaus,ICD-9,29926.0,4109.0,13.7,34382.0,523313,0.057185661353721384,0.007851897430409717
2013,Sutter,ICD-9,6109.0,802.0,13.1,36468.0,94457,0.06467493145028955,0.008490635950750077
2013,Tehama,ICD-9,3460.0,445.0,12.9,31594.0,62878,0.05502719552148605,0.007077197111867425
2013,Trinity,ICD-9,931.0,125.0,13.4,26688.0,13427,0.06933790124376257,0.00930960005958144
2013,Tulare,ICD-9,20826.0,2686.0,12.9,32017.0,452259,0.04604883484905773,0.005939074733725586
2013,Tuolumne,ICD-9,4050.0,530.0,13.1,36116.0,53975,0.07503473830477073,0.009819360815192218
2013,Ventura,ICD-9,38847.0,4814.0,12.4,49787.0,837729,0.046371798039700186,0.005746488422867061
2013,Yolo,ICD-9,7225.0,904.0,12.5,44581.0,206267,0.03502741592208158,0.004382669064852836
2013,Yuba,ICD-9,4804.0,683.0,14.2,33459.0,73082,0.06573438055882433,0.009345666511589721
2014,Alameda,ICD-9,65219.0,9398.0,14.4,57009.0,1607638,0.04056821249559913,0.005845843405045166
2014,Alpine,ICD-9,11.0,0.0,0.0,61368.0,1083,0.010156971375807941,0.0
2014,Amador,ICD-9,2599.0,319.0,12.3,37936.0,36734,0.07075189198018185,0.00868405292099962
2014,Butte,ICD-9,21081.0,3558.0,16.9,36603.0,223525,0.09431159825522872,0.01591768258584051
2014,Calaveras,ICD-9,2901.0,387.0,13.3,39733.0,44677,0.06493273944087562,0.008662175168431183
2014,Colusa,ICD-9,1039.0,144.0,13.9,34844.0,21156,0.04911136320665532,0.006806579693703914
2014,Contra Costa,ICD-9,52940.0,7257.0,13.7,62381.0,1108665,0.0477511240997055,0.006545710381404663
2014,Del Norte,ICD-9,1352.0,162.0,12.0,31479.0,27182,0.04973879773379442,0.00595982635567655
2014,El Dorado,ICD-9,9331.0,1102.0,11.8,56210.0,183157,0.05094536381355886,0.0060166960585727
2014,Fresno,ICD-9,46943.0,6283.0,13.4,36385.0,960072,0.04889529118649435,0.006544300844103359
2014,Glenn,ICD-9,1898.0,272.0,14.3,36446.0,27802,0.06826846989425221,0.00978346881519315
2014,Humboldt,ICD-9,7543.0,821.0,10.9,38324.0,134556,0.05605844406789738,0.00610154879752668
2014,Imperial,ICD-9,7519.0,1046.0,13.9,33758.0,177786,0.04229241897562238,0.005883477889147627
2014,Inyo,ICD-9,834.0,64.0,7.7,48579.0,18280,0.04562363238512035,0.00350109409190372
2014,Kern,ICD-9,40730.0,5474.0,13.4,36164.0,869837,0.046824864888479104,0.006293133081255454
2014,Kings,ICD-9,6126.0,761.0,12.4,32810.0,149373,0.041011427768070534,0.005094628882060345
2014,Lake,ICD-9,5053.0,771.0,15.3,34201.0,64056,0.07888410141126515,0.012036343199700263
2014,Lassen,ICD-9,1028.0,129.0,12.5,29488.0,31664,0.03246589186457807,0.004074027286508338
2014,Los Angeles,ICD-9,489218.0,72658.0,14.9,50052.0,10033449,0.048758707000952514,0.007241577646928788
2014,Madera,ICD-9,6780.0,835.0,12.3,33801.0,153357,0.04421056749936423,0.005444811779051494
2014,Marin,ICD-9,10679.0,1167.0,10.9,102032.0,260403,0.04100951217919917,0.004481515189917167
2014,Mariposa,ICD-9,1089.0,147.0,13.5,40809.0,17745,0.061369399830938295,0.008284023668639054
